stazione_id;data;inquinante;valore
"4";2014-01-29;NO2;76
"5";2014-01-29;NO2;88
"5";2014-01-29;O3;21
"6";2014-01-29;C6H6;3
"6";2014-01-29;CO_8h;1.2
"6";2014-01-29;NO2;76
"6";2014-01-29;PM10;58
"6";2014-01-29;PM25;51
"7";2014-01-29;NO2;83
"7";2014-01-29;O3;26
"7";2014-01-29;PM10;41
"8";2014-01-29;C6H6;
"8";2014-01-29;CO_8h;
"8";2014-01-29;NO2;114
"1";2014-01-30;NO2;104
"2";2014-01-30;C6H6;3
"2";2014-01-30;NO2;83
"2";2014-01-30;O3;23
"2";2014-01-30;PM10;69
"2";2014-01-30;PM25;57
"2";2014-01-30;SO2;5
"3";2014-01-30;CO_8h;1.6
"3";2014-01-30;NO2;153
"4";2014-01-30;C6H6;4
"4";2014-01-30;CO_8h;2.3
"4";2014-01-30;NO2;96
"5";2014-01-30;NO2;107
"5";2014-01-30;O3;25
"6";2014-01-30;C6H6;4
"6";2014-01-30;CO_8h;1.6
"6";2014-01-30;NO2;101
"6";2014-01-30;PM10;64
"6";2014-01-30;PM25;54
"7";2014-01-30;NO2;108
"7";2014-01-30;O3;18
"7";2014-01-30;PM10;61
"8";2014-01-30;C6H6;
"8";2014-01-30;CO_8h;1.9
"8";2014-01-30;NO2;115
"1";2014-01-31;NO2;103
"2";2014-01-31;C6H6;
"2";2014-01-31;NO2;
"2";2014-01-31;O3;24
"2";2014-01-31;PM10;23
"2";2014-01-31;PM25;21
"2";2014-01-31;SO2;2.5
"3";2014-01-31;CO_8h;1.5
"3";2014-01-31;NO2;164
"4";2014-01-31;C6H6;3
"4";2014-01-31;CO_8h;1.8
"4";2014-01-31;NO2;84
"5";2014-01-31;NO2;90
"5";2014-01-31;O3;23
"6";2014-01-31;C6H6;1.5
"6";2014-01-31;CO_8h;1.2
"6";2014-01-31;NO2;86
"6";2014-01-31;PM10;21
"6";2014-01-31;PM25;21
"7";2014-01-31;NO2;86
"7";2014-01-31;O3;24
"7";2014-01-31;PM10;17
"8";2014-01-31;C6H6;
"8";2014-01-31;CO_8h;1.5
"8";2014-01-31;NO2;100
"1";2014-02-01;NO2;73
"2";2014-02-01;C6H6;3
"2";2014-02-01;NO2;
"2";2014-02-01;O3;5
"2";2014-02-01;PM10;32
"2";2014-02-01;PM25;27
"2";2014-02-01;SO2;5
"3";2014-02-01;CO_8h;1.2
"3";2014-02-01;NO2;88
"4";2014-02-01;C6H6;3
